Oligarch,Hometown,Hometown_LatLng,Stadium,Club,Stadium_LatLng, Stadium_Address,ClubColour
"Farhad Moshiri is a British-Iranain billionaire who currrently lives in Monaco and is the owner of Everton. They've been a consistent club in England's top league however of present, they find themselves in 15th, just 2 points off of the relegation zone.",Monaco,"43.737411544321134, 7.421652674079332",Goodison Park,Everton,"53.43902682556225, -2.9660616085531846","Goodison Rd,Liverpool L4 4EL",#003399
"David Sullivan is a Welsh billionaire worth £1.2 billion and is the owner of West Ham. In recent years West Ham have done well to finish high up in the Premier League table as well as the Europa League however, they currently find themselves 18th in the league within the relegation zone.",Cardiff,"51.48431549010645, -3.1729807459006385",London Stadium,West Ham United,"51.538819998681234, -0.016587821894994415",London E20 2ST,#7A263A
"Vichai Srivaddhanaprabha was a Thai businessman and owner of Leicester who passed in a helicopter crash and has left the ownership of the club to his son. Leicester are also struggling in the premier league this season in 17th, 1 point off of the relegation zone.",Bangkok,"13.762940954564565, 100.50891029573467",King Power Stadium,"Leicester, United Kingdom","52.6204916477669, -1.14217593466421","Filbert Wy, Leicester LE2 7FL",#003090
"William P Foley is an American businessman who owns recently promoted Bournemouth. There was little expectation that Bournemouth would be able to stay up this season with a weak squad and a lack of funding being put into the club by Foley so it's not suprising that they are 19th in the Premier League and as it stands facing relegation.",Texas,"30.270686965491052, -97.75306052925343",Vitality Stadium,"Bournemouth, United Kingdom","50.73539598126385, -1.8386041448581025","Kings Park, Boscombe, Bournemouth BH7 7AF",#DA291C
"Tony Bloom owns Brighton and Hove Albion, a team who have been a consistent challenge for other teams in the league. This season, however, there was worry amongst fans that after losing their former managaer, Graham Potter, to Chelsea that they would struggle with domestic success. This is not the case as Brighton currently sit 7th in and are competing for European competition next season. ",Brighton,"50.82342596537501, -0.13554413587271943",American Express Community Stadium,"Brighton, United Kingdom","50.86162520973075, -0.08376945115710158","Village Way, Brighton BN1 9BL",#0057B8
"Nassef Sawiris is the owner of Aston Villa and also is an Egyptian businessman and billionaire with a net worth of £8.7 billion. Villa have remained a competitive team in the Premier League and sit 11th in the premier league this season.",Cairo,"30.04685422159295, 31.236319562662864",Villa Park,"Birmingham, United Kingdom","52.50919231791608, -1.8847991472113317","Trinity Rd, Birmingham B6 6HE",#95BFE5
"Guo Guangchang is a Chinese billionaire with a net worth of £5.7 million and is the owner of Wolverhampton Wanderers. Wolves, as a side, were a team to be feared for a few years under the management of ex manager Nuno Espirito Santo however, under new management have looked weak this season, just 3 points off of relegation in 13th.",Dongyang,"29.293491239132827, 120.2418742744083",Molinex Stadium,"Wolverhampton, United Kingdom","52.59034847323126, -2.1304662644003387","Waterloo Rd, Wolverhampton WV1 4QR",#FDB913
"Andrea Radrizzani is an Italian businessman who owns Leeds United as well as the sports broadcasting group Eleven Sports. Since their promotion back into the premier league in 2020 following a 16 year absence, there was little expectation of them but proved many wrong clinching impressive wins over stronger sides. Their recent form has taken a dip seeing them sit 14th in the league just 2 points off of relegation.",Rho,"45.53187309869752, 9.039749461836928",Elland Road Stadium,"Leeds, United Kingdom","53.77789316857332, -1.5722595891527558","Elland Rd,  Beeston, Leeds LS11 0ES",#FFCD00
"Dragan Solak is the owner of Southampton. He is a Serbian businessman and media mogul who founded a telecoms and media provider in south-east Europe. Southampton's current form this season has failed to match their success in previous years and they see them self bottom of the league in 20th. However, they are only one win way from being out of relegation.",Kragujevac,"44.01452561323989, 20.914728283062097",St. Mary's Stadium,"Southampton, United Kingdom","50.90587039538996, -1.3907773916355217","Britannia Rd, Southampton SO14 5FP",#D71920
"Matthew Benham, an English businessman, is the owner of Brentford Football Club and also the founder and owner of a statistical research company for professional gamblers. Brentford have been a shock this season having beaten the likes of Man City, Liverpool and Man United. Good form this season see them comfortably in 8th and possible contenders for European competition.",Eton,"51.48746462093078, -0.6078553246189087",Gtech community stadium,"London, United Kingdom","51.490831960071866, -0.2886661720285089","Lionel Rd S, Brentford TW8 0RU",#E30613
