FID,LAD19CD,LAD19NM,LAD19NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
213,E07000207,Elmbridge, ,511882,163658,-0.39441,51.361,246792167.526489,83557.0167245663
214,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.3395,87231503.5396271,45615.1270037242
215,E07000209,Guildford, ,500408,151481,-0.56257,51.2537,690836069.454376,205066.206798531
216,E07000210,Mole Valley, ,518377,148953,-0.30603,51.2275,657614072.852432,168189.250839029
217,E07000211,Reigate and Banstead, ,525786,152574,-0.19871,51.2585,329327119.925232,127619.777741804
218,E07000212,Runnymede, ,501777,166979,-0.53855,51.3927,200254615.187958,73171.9700881829
219,E07000213,Spelthorne, ,507012,169622,-0.46254,51.4155,131458005.833588,70742.3811775612
220,E07000214,Surrey Heath, ,491362,160483,-0.68986,51.3361,243484395.509308,85686.2613922093
221,E07000215,Tandridge, ,536365,150325,-0.04805,51.2358,632155914.42115,132718.03887557
222,E07000216,Waverley, ,496363,140635,-0.62343,51.1569,876439491.774689,199902.868921187
223,E07000217,Woking, ,499087,157542,-0.57982,51.3084,162649896.279175,87590.5532652045
224,E07000218,North Warwickshire, ,425570,296399,-1.6242,52.5648,767951986.747192,186211.574247952
225,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965,52.5009,212835288.789124,79039.7806779061
226,E07000220,Rugby, ,446498,276244,-1.31828,52.3823,948111929.355225,188457.502329306
227,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565,52.1615,2598274337.88886,426071.256556862
228,E07000222,Warwick, ,428484,267113,-1.58369,52.3014,756065793.704041,190830.420951966
229,E07000223,Adur, ,518065,106473,-0.32433,50.8457,109162384.49823,56294.0869932846
230,E07000224,Arun, ,495145,105724,-0.64998,50.8432,561982838.18866,180958.924170971
231,E07000225,Chichester, ,490285,116600,-0.7163,50.9418,2042862431.41519,269064.367017259
232,E07000226,Crawley, ,526390,137581,-0.19533,51.1236,114045281.020912,61786.7142703944
233,E07000227,Horsham, ,513676,123839,-0.38123,51.0027,1339050181.82459,250102.613754129
234,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.0595,843277800.874569,211182.487518954
235,E07000229,Worthing, ,512679,104948,-0.40127,50.8331,84602028.2533875,46107.9446641466
236,E07000234,Bromsgrove, ,399840,273736,-2.00376,52.3617,581256668.439941,185216.502854892
237,E07000235,Malvern Hills, ,377465,252197,-2.33089,52.1676,1533619116.45667,376124.257554133
238,E07000236,Redditch, ,403705,265253,-1.9471,52.2854,144820028.289795,67479.7941381762
239,E07000237,Worcester, ,385725,255196,-2.21025,52.1948,88495831.8444824,50979.6633701817
240,E07000238,Wychavon, ,398991,247839,-2.01614,52.1289,1761976711.69897,357758.30993066
241,E07000239,Wyre Forest, ,384106,276388,-2.23494,52.3853,523901287.108276,165128.2904789
242,E07000240,St Albans, ,514580,209623,-0.3407,51.7736,420538989.797989,117815.508825645
243,E07000241,Welwyn Hatfield, ,525345,208467,-0.18518,51.7609,337831447.981674,133105.384931701
244,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.8648,1245820638.8602,218795.27777646
245,E07000243,Stevenage, ,524622,224531,-0.18987,51.9054,68139788.0912857,46310.8067627236
246,E07000244,East Suffolk, ,636039,266218,1.45609,52.2435,3446593078.34894,395876.780229182
247,E07000245,West Suffolk, ,580944,271124,0.652769,52.3084,2759320900.86386,448131.83039498
248,E07000246,Somerset West and Taunton, ,304960,130228,-3.35766,51.0635,3062726175.31482,439265.565192613
249,E08000001,Bolton, ,368352,409873,-2.47952,53.5845,396074516.141602,139102.376890697
250,E08000002,Bury, ,379658,410768,-2.3088,53.5931,281927422.803955,115410.39154493
251,E08000003,Manchester, ,384591,397063,-2.23359,53.4701,325724230.803711,145748.793041642
252,E08000004,Oldham, ,396603,406784,-2.05274,53.5577,402802631.661377,119699.785401052
253,E08000005,Rochdale, ,390315,412326,-2.14784,53.6074,448832936.30188,139364.009602132
254,E08000006,Salford, ,374556,398128,-2.38485,53.4793,274242482.758423,106256.842992973
255,E08000007,Stockport, ,391806,388264,-2.12467,53.3912,354036671.373413,123416.203401102
256,E08000008,Tameside, ,394987,397995,-2.077,53.4787,290891988.583252,94009.8562298027
257,E08000009,Trafford, ,375790,391162,-2.36572,53.4167,298214596.27002,101794.90048477
258,E08000010,Wigan, ,362136,402126,-2.57247,53.5145,531778213.721558,149082.569021065
259,E08000011,Knowsley, ,344762,393778,-2.83297,53.4379,243308474.995972,114327.186845311
260,E08000012,Liverpool, ,339361,390553,-2.91364,53.4083,375077321.722656,112744.034372348
261,E08000013,St. Helens, ,353412,395992,-2.7031,53.4586,384175226.030518,128212.194463542
262,E08000014,Sefton, ,334264,398832,-2.99204,53.4821,579786318.888184,209227.107978771
263,E08000015,Wirral, ,329242,386937,-3.06502,53.3745,719289631.156494,163996.411498681
264,E08000016,Barnsley, ,429979,403327,-1.54925,53.5258,930490474.135193,212519.792244058
265,E08000017,Doncaster, ,459167,403735,-1.10894,53.527,1608168267.16174,227264.401525083
266,E08000018,Rotherham, ,447542,388980,-1.28651,53.3955,805360177.886108,177964.706573986
267,E08000019,Sheffield, ,430511,389736,-1.54254,53.4036,1033966109.77295,222648.186940515
268,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65297,55.021,349499034.030029,107549.811246702
269,E08000022,North Tyneside, ,431471,570602,-1.50923,55.029,257770916.834717,115441.736912367
270,E08000023,South Tyneside, ,435503,564057,-1.44696,54.9699,203292138.052002,79499.3265151404
271,E08000024,Sunderland, ,436470,551525,-1.43344,54.8572,421243770.240601,120180.600553019
272,E08000025,Birmingham, ,408150,287352,-1.88141,52.484,721530321.854126,174397.662023121
273,E08000026,Coventry, ,432807,279689,-1.51908,52.4142,264900602.528381,88582.599190013
274,E08000027,Dudley, ,393191,288584,-2.10171,52.4951,263867475.353027,123739.35017302
275,E08000028,Sandwell, ,399573,290764,-2.00771,52.5148,230807011.505615,97244.4349754305
276,E08000029,Solihull, ,419434,281483,-1.71558,52.431,478717848.723389,165585.06243883
277,E08000030,Walsall, ,402098,300804,-1.97044,52.605,281552986.571777,97754.6805543061
278,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.5979,187943691.06604,92220.762427335
279,E08000032,Bradford, ,408395,438626,-1.87389,53.8438,1051349126.91272,230224.272719696
280,E08000033,Calderdale, ,402617,424896,-1.96182,53.7205,1038193011.16797,181847.881455046
281,E08000034,Kirklees, ,414586,416223,-1.78085,53.6423,1160216361.40161,211812.708476867
282,E08000035,Leeds, ,432528,436384,-1.50736,53.8227,1581526634.20062,273497.687130628
283,E08000036,Wakefield, ,438366,418235,-1.42092,53.6592,963117554.756531,184543.243442458
284,E08000037,Gateshead, ,420168,559658,-1.6868,54.9312,435858391.512695,138628.442595904
285,E09000001,City of London, ,532382,181358,-0.09351,51.5156,8122675.45330811,15417.5975523764
286,E09000002,Barking and Dagenham, ,547759,185107,0.129506,51.5455,97604144.4900131,59416.3381076369
287,E09000003,Barnet, ,523472,191753,-0.21821,51.6111,224740752.474312,81807.6866501099
288,E09000004,Bexley, ,549202,175433,0.146212,51.4582,165393564.305145,69647.5571840492
289,E09000005,Brent, ,519615,186468,-0.27568,51.5644,111727287.535706,61617.2769931308
290,E09000006,Bromley, ,542036,165708,0.039246,51.3727,384781112.279932,121960.643875689
291,E09000007,Camden, ,527492,184284,-0.16289,51.5431,56277649.9515839,42028.410764429
292,E09000008,Croydon, ,533922,164745,-0.07761,51.366,221536134.792492,93952.7005529077
293,E09000009,Ealing, ,517057,181960,-0.31407,51.5244,143321000.47757,76181.4443033055
294,E09000010,Enfield, ,532829,196197,-0.08147,51.6489,213272595.892555,66130.9146926547
295,E09000011,Greenwich, ,542508,175881,0.050108,51.464,129858261.233761,73131.0878533411
296,E09000012,Hackney, ,534560,185787,-0.06045,51.5549,49210190.4906559,40792.6263705366
297,E09000013,Hammersmith and Fulham, ,523866,177998,-0.21736,51.4874,44207821.7959671,38440.9669716113
298,E09000014,Haringey, ,531262,189349,-0.10667,51.5877,76590024.9986687,46679.5547447761
299,E09000015,Harrow, ,515356,189736,-0.33603,51.5947,130642293.005844,54276.0733443213
300,E09000016,Havering, ,555032,187514,0.235368,51.5652,295779637.157021,102653.52409174
301,E09000017,Hillingdon, ,508166,183120,-0.44182,51.5366,298801284.997833,102685.824904323
302,E09000018,Hounslow, ,512744,174965,-0.37844,51.4624,145664146.044983,92421.2719940162
303,E09000019,Islington, ,531158,184647,-0.10992,51.5455,38374200.6221237,33316.8038735033
304,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.4964,31922415.3064423,33725.202523188
305,E09000021,Kingston upon Thames, ,519508,167389,-0.28367,51.393,95580130.7953186,60170.7547354704
306,E09000022,Lambeth, ,531118,175626,-0.11385,51.4644,70094156.0059929,54837.1318550654
307,E09000023,Lewisham, ,537889,173344,-0.01733,51.4423,90820399.4096355,65893.1362305837
308,E09000024,Merton, ,526069,169507,-0.18867,51.4106,96602422.1781845,51829.401134971
309,E09000025,Newham, ,540721,183327,0.027369,51.5313,99543561.6674271,51121.5608438671
310,E09000026,Redbridge, ,543512,189478,0.070085,51.5859,146011027.195564,73624.2406728462
311,E09000027,Richmond upon Thames, ,519005,172648,-0.28914,51.4403,151092027.517014,83956.3672437434
312,E09000028,Southwark, ,533945,175862,-0.07309,51.4659,77014210.0217094,53966.6831488937
313,E09000029,Sutton, ,527356,163640,-0.17227,51.3576,112341222.62262,63779.0171902467
314,E09000030,Tower Hamlets, ,536345,181451,-0.0364,51.5155,55645991.4224396,43047.8006031114
315,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.5946,100433505.008619,53650.9917018791
316,E09000032,Wandsworth, ,525152,174137,-0.20021,51.4524,90594583.0404282,59982.9968542523
317,E09000033,Westminster, ,528268,180871,-0.15295,51.5122,56817769.4604797,43618.6453179185
318,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1776,54.6939,2174317269.78467,285365.33678987
319,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43455,54.3867,4220849769.93408,416363.955414716
320,N09000003,Belfast, ,146465,529747,-5.92535,54.5985,409177817.610352,113606.253277712
321,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5996,55.0396,6032695616.0376,665873.434576185
322,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.809,3753841644.95996,470057.953679367
323,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271,54.3852,8869150290.47412,731617.522408467
324,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.4975,1509937691.42285,287946.435341876
325,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.8646,3196492829.3584,407559.710588878
326,N09000009,Mid Ulster, ,83920,528564,-6.8889,54.5527,5818400925.23047,548591.454922695
327,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.08891,54.1495,4911168624.36865,649326.951006702
328,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.5641,1678438486.39526,352417.112013351
329,S12000005,Clackmannanshire, ,291159,696335,-3.75344,56.1472,527188684.326172,150568.390385284
330,S12000006,Dumfries and Galloway, ,270645,579857,-4.02863,55.0962,20323976091.5073,1475618.14395042
331,S12000008,East Ayrshire, ,255398,624935,-4.29057,55.4967,3948090930.1582,600968.781496166
332,S12000010,East Lothian, ,354854,672351,-2.72435,55.9421,2230820636.34717,356576.257768692
333,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.7487,548958526.421631,166651.598843919
334,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65722,58.1994,11534647669.6958,6955706.20756958
335,S12000014,Falkirk, ,289661,679536,-3.7706,55.996,1004918610.29785,223810.651114395
336,S12000017,Highland, ,241026,858306,-4.66091,57.5867,91867899761.2769,9203691.46908163
337,S12000018,Inverclyde, ,227922,670899,-4.75387,55.9003,551149898.557861,134187.746685166
338,S12000019,Midlothian, ,330088,659217,-3.11738,55.8211,1124254917.62573,224943.40593524
339,S12000020,Moray, ,328024,843593,-3.20187,57.4768,7790809597.92773,750687.42093959
340,S12000021,North Ayrshire, ,228984,651640,-4.72479,55.7279,2831878665.19092,644370.66821979
341,S12000023,Orkney Islands, ,348291,1006584,-2.90028,58.9433,4091781234.0321,3088087.31223547
342,S12000026,Scottish Borders, ,345891,626135,-2.85866,55.5259,14815062346.728,929102.203239722
343,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.505,6770500285.6488,4461283.16434307
344,S12000028,South Ayrshire, ,226544,596270,-4.72901,55.2301,3795030514.54199,590861.720230226
345,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.6045,5550352965.2251,503244.441809188
346,S12000030,Stirling, ,255980,708769,-4.32595,56.2495,7285942792.74927,596817.06102592
347,S12000033,Aberdeen City, ,387763,808478,-2.20398,57.167,697633615.438232,183023.02171757
348,S12000034,Aberdeenshire, ,352286,816276,-2.79205,57.2347,21604201741.0459,1497387.49040841
349,S12000035,Argyll and Bute, ,200740,715442,-5.22114,56.2894,22990097440.2937,6665489.91170005
350,S12000036,City of Edinburgh, ,320193,669416,-3.27826,55.9112,868068974.206299,197469.546582189
351,S12000038,Renfrewshire, ,239305,664698,-4.56834,55.8486,852252098.571533,185412.421794445
352,S12000039,West Dunbartonshire, ,242904,681587,-4.52074,56.0014,582692109.135498,151400.373669398
353,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,1369307939.81787,244623.772071138
354,S12000041,Angus, ,345518,759594,-2.89189,56.7248,7304014211.37158,568265.882672578
355,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,203609640.47583,97645.5523034209
356,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.9583,555493368.672119,177700.476052627
357,S12000047,Fife, ,339197,704726,-2.98235,56.2312,4437739683.09912,658079.908473672
358,S12000048,Perth and Kinross, ,284304,744186,-3.8848,56.5753,17811289827.2041,1027854.08124834
359,S12000049,Glasgow City, ,261534,667033,-4,60,558601905.634277,193357.322396567
360,S12000050,North Lanarkshire, ,277984,665608,-4,60,1497534979.3042,292110.454054887
361,W06000001,Isle of Anglesey,Ynys Môn,245222,378346,-4.32291,53.2794,2092068788.81982,418267.535161122
362,W06000002,Gwynedd,Gwynedd,277968,334967,-3.81559,52.8983,7194502579.7146,771831.967014526
363,W06000003,Conwy,Conwy,283293,362562,-3.74646,53.1474,3201108302.26978,404122.545362721
364,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.0883,2343862385.9519,367532.806978098
365,W06000005,Flintshire,Sir y Fflint,321564,369303,-3.17605,53.215,1363371924.38477,249971.298626692
366,W06000006,Wrexham,Wrecsam,333523,345387,-2.99203,53.0017,1388643681.16956,315428.139925876
367,W06000008,Ceredigion,Ceredigion,267126,268437,-3.94994,52.298,4812673531.5542,531386.558782718
368,W06000009,Pembrokeshire,Sir Benfro,199821,221391,-4.90818,51.8551,4318413506.58545,887554.021248299
369,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111,51.895,6397120249.46851,587460.4860776
370,W06000011,Swansea,Abertawe,264022,197308,-3.96723,51.6581,1091535346.83521,236694.779927719
371,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.6445,1173987067.41895,215696.510783357
372,W06000013,Bridgend,Pen-y-bont ar Ogwr,288242,185868,-3.61359,51.5606,659760190.554688,144262.369562179
373,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803,51.4484,873578470.218018,163870.916905741
374,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212,51.5025,385602821.450439,113282.982761588
375,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.6218,1100665726.21021,209813.999428934
376,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.65,719971291.250977,187290.564902075
377,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.7536,283620125.384033,105942.090800171
378,W06000020,Torfaen,Torfaen,327459,200480,-3.05101,51.6984,328321908.261719,133109.050019182
379,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028,51.7783,2310577843.83313,405231.886844244
380,W06000022,Newport,Casnewydd,337897,187433,-2.89769,51.5823,563283133.077148,218611.005205933
381,W06000023,Powys,Powys,302328,273254,-3.43533,52.3486,13893938052.928,992453.026253308
382,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36425,51.7486,291689066.412842,107692.617463389
