Entity,Code,Year,Prevalence Anxiety disorders Male (Percent),Prevalence Anxiety disorders Female,Population (historical estimates),latitude,longitude,Percentage of Population with Anxiety
Portugal,PRT,2019,6.49,10.86,10289921,39.399872,-8.224454,17.35,"<p class='visInfo'>Portugal <br> There are many services available in Portugal for mental health. They have the National Mental Health Program which focuses on promoting good mental health and treatment of mental conditions, and there is also a free 24/7 counselling service available by phone. There are several NGOs that are running anti-stigma campaigns, and in the National Health Plan 2004-10, Mental Health was a priority topic. In 2011 Portugal was spending 5.24% out of its health spending on mental health, and more spending could be used on preventative services to help bring the number being diagnosed down. Portugal has a 17.35% rate of males and females diagnosed with anxiety combined. <img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/portugal.png?v=1679556546012'/></p>"
Romania,ROU,2019,2.57,4.41,19524212,45.943161,24.96676,6.98,"<p class='visInfo'>Romania <br> In 2002, Romania introduced a law for the promotion of mental health and protection of those with mental health. A Mental Health Strategy and National Programme for Mental Health was launched within a few years after. There has been a number of specific programmes that have been set up to address children at risk of social exclusion. Anti-stigma campaigns took place and the Romanian Ministry of Public Health planned to keep this going for the next five years. Romania has a 6.98% rate of the number of males and females diagnosed with anxiety combined. <br>  <img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/4ba2e918-7234-4da0-a324-d8f69d281c9b.image.png?v=1679525310858'/></p>"
Russia,RUS,2019,2.57,4.07,145742288,55.75222,37.61556,6.64," <p class='visInfo'>Russia <br> Mental healthcare is a right for all citizens according to Russian law but is not always enforced. This is due to poor funding and the stigma about mental illnesses meaning that traditional methods are still being used today. Mental healthcare has always been a low priority within the Russian health system with it being seen as a characteristic of capitalist societies. Russia has a 6.64% rate of the number of males and females diagnosed with anxiety combined. <br>  <img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/2dc32e2e-087e-4908-a244-0b7b8781cc2c.image.png?v=1679525284186'/></p>"
San Marino,SMR,2019,4.47,7.52,34203,43.94236,12.457777,11.99,""
Serbia,SRB,2019,2.61,4.51,7401056,44.016521,21.005859,7.12,""
Slovakia,SVK,2019,2.68,4.63,5453932,48.669026,19.699024,7.31,""
Slovenia,SVN,2019,2.69,4.62,2112905,46.151241,14.995463,7.31,""
Spain,ESP,2019,3.28,7.34,47131372,40.463667,-3.74922,10.62,""
Sweden,SWE,2019,3.94,6.46,10267922,60.128161,18.643501,10.4,""
Switzerland,CHE,2019,5.56,9.34,8575593,46.818188,8.227512,14.9,"<p class='visInfo'>Switzerland <br> They have the highest number of psychiatrists per population in the OECD, but they act differently than most countries as they are less specialised and are more broader family doctors, which could explain how they can get diagnosed with anxiety on a large scale. The Swiss population view physical health and mental health as equally important, with almost three quarters supporting the idea. The citizens also believe that they have good quality healthcare with 68% saying it was good or better. Their system of having private healthcare along with federally mandated universal health insurance means that they can get quality mental health care at a decent price, and this system has been identified by researchers as ideal. Switzerland has a 14.9% rate of males and females diagnosed with anxiety. <div><img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/5fb8116752a41b2681a19748803c9231--swiss-flag-my-heritage.jpg?v=1679564303988'/></div></p> "
Ukraine,UKR,2019,2.56,4.08,44211100,48.379433,31.16558,6.64,"<p class='visInfo'>Ukraine <br> There are many barriers to Ukrainians accessing mental health care in Ukraine including, lack of trust in the system, stigma and not enough understanding. The high stigma around mental health prevents many of them from seeking the care that they need as they see it as a sign of weakness. There is a great lack of knowledge in Ukraine of mental health and of effective treatments for it. Ukraine has a 6.64% rate of the number of males and females diagnosed with anxiety combined. <br>  <img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/db74435b-49db-4022-a3d0-db6aab392f5b.image.png?v=1679525298626'/></p>"
United Kingdom,GBR,2019,3.85,5.89,66778660,55.378051,-3.435973,9.74,""
